,Survey,StartDate,EndDate,Progress,Duration,Finished,Courses,Consent1,Consent2,A1,A2,A3,A4,R1,Major,Year,Sex,VSD,NUPath,Philosophy,ID,course,course_name,crit_1,crit_2,crit_3,crit_4,crit_6,crit_7,crit_5,is_not_null
58,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 15:46,10/27/21 15:50,100,184,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,2,5,5,Computer Science,2,Male,No,IS 1300/PHIL 1300: Knowledge in a Digital World,No,A358,cs4100,CS4100-2,True,True,True,True,True,True,True,True
59,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 16:36,10/27/21 16:38,100,130,TRUE,"CS4100 Artificial Intelligence (Lawson Wong),CS4550 Web Development (Jose Annunziato)",Yes,,4,2,4,1,4,Computer Sceince,2,Male,I'm not sure,PHIL 1145: Technology and Human Values,Yes,A53,cs4100,CS4100-2,True,True,True,True,True,True,True,True
60,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 17:09,10/27/21 17:11,100,98,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,1,5,5,Computer Science,3,Male,I'm not sure,PHIL 1145: Technology and Human Values,Yes,A409,cs4100,CS4100-2,True,True,True,True,True,True,True,True
62,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 21:14,10/27/21 21:16,100,109,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,3,2,1,5,1,Psychology,4,Female,No,"None, or I'm not sure",,A291,cs4100,CS4100-2,True,True,True,True,True,True,True,True
64,Pre-Module_Fl21_CS4100-2_Wong,10/27/21 22:19,10/27/21 22:21,100,125,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,4,2,5,4,Computer Science (Concentration in AI),3,Male,No,"INSH 2102: Bostonography: The City through Data, Texts, Maps, and Networks",Yes,A60,cs4100,CS4100-2,True,True,True,True,True,True,True,True
67,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 8:41,10/28/21 8:43,100,141,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,3,5,1,5,5,CS + Behavioral Neuroscience,2,Male,No,"None, or I'm not sure",No,A68,cs4100,CS4100-2,True,True,True,True,True,True,True,True
68,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 10:44,10/28/21 10:46,100,111,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,5,5,1,5,4,Computer Science,2,Male,Yes,PHIL 1145: Technology and Human Values,No,A75,cs4100,CS4100-2,True,True,True,True,True,True,True,True
71,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 12:05,10/28/21 12:07,100,153,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,1,5,2,Computer Science and Mathematics,4,Female,I'm not sure,PHIL 1145: Technology and Human Values,Yes,A307,cs4100,CS4100-2,True,True,True,True,True,True,True,True
74,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 14:06,10/28/21 14:10,100,228,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,4,5,1,4,5,Computer Science,3,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A22,cs4100,CS4100-2,True,True,True,True,True,True,True,True
76,Pre-Module_Fl21_CS4100-2_Wong,10/28/21 16:06,10/28/21 16:09,100,205,TRUE,CS4100 Artificial Intelligence (Lawson Wong),Yes,,3,5,1,5,4,Computer Science,4,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A1,cs4100,CS4100-2,True,True,True,True,True,True,True,True
